	Unnamed: 0	genome_id	resistant_phenotype
0	65738	562.65074	0
1	65743	562.65073	1
2	65750	562.64968	0
3	65754	562.64956	0
4	65756	562.64958	0
5	65761	562.64957	1
6	65766	562.64959	1
7	65768	562.64961	0
8	65770	562.64963	1
9	65772	562.64975	1
10	65774	562.64964	0
11	65776	562.65414	0
12	65778	562.64960	0
13	65780	562.64962	0
14	65782	562.64945	0
15	65784	562.64953	1
16	65786	562.64954	1
17	65788	562.65635	0
19	65795	562.65632	0
20	65797	562.65634	0
22	65804	562.65415	0
23	65806	562.65629	1
26	65822	562.65639	0
27	65824	562.65621	0
28	65826	562.65626	0
29	65828	562.65624	0
30	65830	562.65622	0
31	65832	562.65413	0
32	65834	562.65625	1
33	65836	562.65623	0
34	65838	562.65619	0
35	65840	562.65620	0
36	65842	562.65618	1
37	65844	562.65627	0
38	65846	562.65628	0
39	65850	562.65607	0
40	65852	562.65606	1
41	65854	562.65416	0
42	65859	562.65608	0
44	65866	562.65614	0
45	65868	562.65494	0
46	65870	562.65503	0
47	65875	562.65504	1
48	65877	562.65491	0
49	65879	562.65492	0
50	65889	562.65488	0
51	65891	562.65412	0
52	65893	562.65489	0
53	65895	562.65487	0
54	65897	562.65485	0
55	65899	562.65486	0
56	65901	562.65483	0
57	65906	562.65484	1
58	65908	562.65502	0
59	65910	562.65478	0
60	65922	562.65407	1
61	65924	562.65477	0
62	65926	562.65475	0
63	65928	562.65474	0
64	65930	562.65473	1
65	65934	562.65481	0
66	65936	562.65482	0
67	65941	562.65480	1
69	65951	562.65463	0
70	65953	562.65410	0
71	65955	562.65461	0
72	65957	562.65141	1
74	65964	562.65125	0
77	65981	562.65130	0
78	65983	562.65129	0
79	65987	562.65408	0
80	65989	562.65124	1
81	65994	562.65123	1
82	65996	562.65681	1
83	65998	562.65680	1
84	66000	562.65678	1
85	66002	562.65679	0
86	66004	562.65683	1
87	66009	562.65682	0
88	66011	562.65675	0
89	66016	562.65406	1
90	66018	562.65676	0
93	66040	562.65671	1
94	66045	562.65667	1
95	66047	562.65670	0
96	66049	562.65669	1
97	66054	562.65064	1
98	66056	562.65404	0
99	66058	562.65764	0
101	66065	562.65761	0
102	66067	562.65762	1
103	66069	562.65760	1
105	66086	562.65756	0
107	66093	562.65759	1
108	66095	562.65755	0
109	66097	562.65757	0
110	66099	562.65753	0
111	66101	562.65751	0
112	66103	562.65750	0
113	66105	562.65740	0
114	66107	562.65743	0
115	66109	562.65742	0
116	66111	562.65401	0
117	66115	562.65745	0
120	66132	562.65736	1
121	66134	562.65735	1
122	66136	562.65090	1
123	66138	562.65089	1
124	66145	562.65405	0
125	66153	562.65092	1
126	66162	562.65085	0
127	66167	562.65084	1
128	66172	562.65080	1
129	66174	562.65081	0
130	66181	562.65083	0
131	66188	562.65077	0
132	66190	562.65076	0
133	66192	562.65078	0
134	66194	562.65086	0
135	66199	562.65065	0
136	66201	562.65066	0
137	66205	562.65067	0
138	66207	562.65403	0
139	66209	562.65068	0
140	66211	562.65071	0
141	66213	562.65072	0
142	66220	562.65075	0
143	66222	562.65060	0
144	66224	562.65059	1
145	66226	562.65062	0
146	66230	562.65063	0
147	66232	562.65398	0
148	66234	562.65057	0
149	66236	562.65058	0
150	66251	562.65044	0
151	66253	562.65048	0
152	66255	562.65042	0
153	66259	562.65046	0
154	66261	562.65047	0
155	66263	562.65050	1
156	66265	562.65051	0
157	66269	562.65052	0
158	66274	562.65033	1
159	66276	562.65032	0
160	66280	562.65053	1
161	66285	562.65397	0
162	66287	562.65040	0
163	66289	562.65039	0
164	66291	562.65038	0
165	66293	562.65041	1
167	66302	562.65034	1
168	66304	562.65026	0
169	66309	562.65021	1
170	66311	562.65020	0
171	66316	562.65400	1
172	66318	562.65030	0
173	66320	562.65029	1
175	66329	562.65025	0
176	66331	562.65031	0
177	66338	562.65028	1
178	66340	562.65010	0
179	66347	562.65396	1
180	66349	562.65011	1
181	66358	562.65014	1
182	66368	562.65016	1
183	66373	562.65018	1
184	66378	562.65017	1
185	66382	562.64999	0
186	66384	562.65395	0
187	66386	562.65008	1
188	66388	562.64951	1
189	66390	562.64952	0
190	66392	562.64950	1
191	66394	562.64947	0
192	66399	562.64946	1
195	66413	562.64937	0
197	66420	562.64939	0
198	66424	562.64938	0
199	66428	562.64933	0
200	66430	562.64935	0
201	66432	562.64943	0
202	66434	562.64941	0
203	66436	562.64940	0
204	66438	562.64942	0
205	66444	562.64924	1
206	66446	562.64925	0
207	66448	562.64927	0
208	66452	562.64929	0
209	66454	562.64928	1
210	66459	562.64931	0
211	66463	562.64854	0
212	66465	562.65388	0
213	66471	562.64844	0
214	66473	562.64843	0
215	66475	562.64840	0
216	66479	562.64836	1
217	66481	562.64838	0
218	66483	562.64837	0
219	66487	562.65391	0
221	66494	562.64824	1
222	66496	562.64827	0
223	66498	562.64825	0
224	66500	562.64828	0
225	66502	562.64834	0
226	66507	562.64830	1
227	66509	562.64829	0
228	66514	562.64831	1
230	66523	562.64832	0
231	66529	562.65417	0
232	66531	562.65367	0
233	66538	562.65371	0
234	66542	562.65370	0
235	66544	562.65369	0
236	66546	562.65362	0
237	66548	562.65351	1
238	66550	562.65353	1
239	66552	562.65352	0
240	66554	562.65354	1
241	66558	562.65356	0
242	66560	562.65360	1
243	66562	562.65384	0
245	66572	562.65358	1
246	66574	562.65355	1
247	66576	562.65350	0
